category,subject,priority,action,reason,exact_name_matches,reference_url,scope
equipment,Crowbar,A,new equipment icon candidates,"No exact subject row found; generic bags, spell icons or tools in proficiency art are not automatically item coverage.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
equipment,Caltrops,A,new equipment icon candidates,"No exact subject row found; generic bags, spell icons or tools in proficiency art are not automatically item coverage.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
equipment,Ball Bearings,A,new equipment icon candidates,"No exact subject row found; generic bags, spell icons or tools in proficiency art are not automatically item coverage.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
equipment,Manacles,A,new equipment icon candidates,"No exact subject row found; generic bags, spell icons or tools in proficiency art are not automatically item coverage.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
equipment,Healer’s Kit,A,new equipment icon candidates,"No exact subject row found; generic bags, spell icons or tools in proficiency art are not automatically item coverage.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
equipment,Component Pouch,A,new equipment icon candidates,"No exact subject row found; generic bags, spell icons or tools in proficiency art are not automatically item coverage.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
equipment,Holy Water,A,new equipment icon candidates,"No exact subject row found; generic bags, spell icons or tools in proficiency art are not automatically item coverage.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
equipment,Shovel,A,new equipment icon candidates,"No exact subject row found; generic bags, spell icons or tools in proficiency art are not automatically item coverage.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
equipment,Tinderbox,B,alias or expanded kit review,"Potential coverage via Flint and Steel, Wineskin, Thieves’ Picks, and Greek Fire. Verify kit contents and identity before adding art.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
equipment,Waterskin,B,alias or expanded kit review,"Potential coverage via Flint and Steel, Wineskin, Thieves’ Picks, and Greek Fire. Verify kit contents and identity before adding art.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
equipment,Thieves’ Tools,B,alias or expanded kit review,"Potential coverage via Flint and Steel, Wineskin, Thieves’ Picks, and Greek Fire. Verify kit contents and identity before adding art.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
equipment,Alchemist’s Fire,B,alias or expanded kit review,"Potential coverage via Flint and Steel, Wineskin, Thieves’ Picks, and Greek Fire. Verify kit contents and identity before adding art.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/equipment,universal across editions; exclude setting-specific and third-party variants
spells,Mage Hand,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Eldritch Blast,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Guidance,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Sacred Flame,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Thaumaturgy,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Prestidigitation,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Fire Bolt,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Ray of Frost,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Healing Word,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Misty Step,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Counterspell,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Revivify,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Spirit Guardians,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
spells,Hunter’s Mark,A,new spell-effect candidates,"No exact spell row. Keep utility hand distinct from Spectral Hand, and spell effects distinct from similar-colored existing icons.",,https://www.dndbeyond.com/sources/dnd/basic-rules-2014/spells,universal across editions; exclude setting-specific and third-party variants
skills,Athletics,B,modern skill icon or mapping decision,No exact-name row in skills/proficiencies. Existing older skills may partially cover the visual concept; Fable decides semantic mapping.,,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Deception,B,modern skill icon or mapping decision,No exact-name row in skills/proficiencies. Existing older skills may partially cover the visual concept; Fable decides semantic mapping.,,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Insight,B,modern skill icon or mapping decision,No exact-name row in skills/proficiencies. Existing older skills may partially cover the visual concept; Fable decides semantic mapping.,,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Intimidation,B,modern skill icon or mapping decision,No exact-name row in skills/proficiencies. Existing older skills may partially cover the visual concept; Fable decides semantic mapping.,,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Investigation,B,modern skill icon or mapping decision,No exact-name row in skills/proficiencies. Existing older skills may partially cover the visual concept; Fable decides semantic mapping.,,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Perception,B,modern skill icon or mapping decision,No exact-name row in skills/proficiencies. Existing older skills may partially cover the visual concept; Fable decides semantic mapping.,,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Persuasion,B,modern skill icon or mapping decision,No exact-name row in skills/proficiencies. Existing older skills may partially cover the visual concept; Fable decides semantic mapping.,,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Arcana,B,mapping before new art,"Compare Spellcraft, Healing, Animal Lore, Perform, Hide in Shadows/Move Silently, and Pick Pockets. Similarity is not automatic rules equivalence.",,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Medicine,B,mapping before new art,"Compare Spellcraft, Healing, Animal Lore, Perform, Hide in Shadows/Move Silently, and Pick Pockets. Similarity is not automatic rules equivalence.",,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Nature,B,mapping before new art,"Compare Spellcraft, Healing, Animal Lore, Perform, Hide in Shadows/Move Silently, and Pick Pockets. Similarity is not automatic rules equivalence.",,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Performance,B,mapping before new art,"Compare Spellcraft, Healing, Animal Lore, Perform, Hide in Shadows/Move Silently, and Pick Pockets. Similarity is not automatic rules equivalence.",,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Stealth,B,mapping before new art,"Compare Spellcraft, Healing, Animal Lore, Perform, Hide in Shadows/Move Silently, and Pick Pockets. Similarity is not automatic rules equivalence.",,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
skills,Sleight of Hand,B,mapping before new art,"Compare Spellcraft, Healing, Animal Lore, Perform, Hide in Shadows/Move Silently, and Pick Pockets. Similarity is not automatic rules equivalence.",,https://www.dndbeyond.com/sources/dnd/br-2024/character-classes,universal across editions; exclude setting-specific and third-party variants
magic items,Potion of Healing,B,dedicated item coverage review,"Potion/table icons and generic bags exist, but named item rows do not. Define item coverage separately from random-table category art.",,https://www.dndbeyond.com/magic-items/8960641-potion-of-healing,universal across editions; exclude setting-specific and third-party variants
magic items,Bag of Holding,B,dedicated item coverage review,"Potion/table icons and generic bags exist, but named item rows do not. Define item coverage separately from random-table category art.",,https://www.dndbeyond.com/magic-items/9228356-bag-of-holding,universal across editions; exclude setting-specific and third-party variants
magic items,Portable Hole,B,dedicated item coverage review,"Potion/table icons and generic bags exist, but named item rows do not. Define item coverage separately from random-table category art.",,https://www.dndbeyond.com/magic-items/9228932-portable-hole,universal across editions; exclude setting-specific and third-party variants
